Id,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
634,Qatar,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,
498,Republic of Moldova,,,,,,,,73.7,,,62.4,,,,,67.8,,,,,,,59.5,,
638,Reunion,72.9,,,,,,,66.6,,,,,,,,,,,,,,,,,
642,Romania,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,
643,Russian Federation,,,,62.5,66.8,63.4,65.3,,,,,,,,83.8,,,79.5,,,,68,,,
646,Rwanda,,,21.2,,,,13.7,,,,13.2,,,,,17.4,,,36.4,,,51.6,,,
662,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,55.5,,
882,Samoa,,,,,,,,,24.5,,,,,,,,,,,28.7,,,,,
678,Sao Tome and Principe,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,,,,
682,Saudi Arabia,,,,,,,31.8,,,20.8,,,,,,,,23.8,,,,,,,
686,Senegal,,,,7.4,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,,17.8,
688,Serbia,,,,,,,,,,,58.7,,,,,,41.2,,,,60.8,,,,58.4
694,Sierra Leone,,,2.6,,,,,,,,4.3,,,,,5.3,,,8.2,,11,,,16.6,
702,Singapore,,,65,,,,,62,,,,,,,,,,,,,,,,,
703,Slovakia,,74,,,,,,79.8,,,,,,,,,,,,,,,,,
705,Slovenia,,,,,,78.9,,,,,,,,,,,,,,,,,,,
90,Solomon Islands,,,,,,,,,,,,,,,,,,34.6,,,,,,,
706,Somalia,,,,,,,,,,7.9,,,,,,,14.6,,,,,,,,
710,South Africa,,,,,,,,,56.3,,,,,,59.9,,,,,,,,,,
728,South Sudan,,,,,,,,,,,,,,,,,3.5,,,,4,,,,
724,Spain,,,,,,81.1,,,,71.7,,,,,,,65.7,,,,,,,,
144,Sri Lanka,,,,66.1,,,,,,,70,,,,,,,68.4,,,,,,,
275,State of Palestine,,,,,,,45.2,,,,51.4,,,,50.6,,,50.2,,,52.5,,,,
729,Sudan,8.7,,,9.9,,,,,,7,,,,,,,9.5,,,,9,,,,
740,Suriname,,,48,,,,,,,,42.1,,,,,,45.6,,,,47.6,,,,
748,Swaziland,,,,,,,,,,,27.7,,40.1,,,,,50.6,,,65.2,,,,
752,Sweden,,,,,,,75.2,,,,,,,,,,,,,,,,,,
756,Switzerland,,,,,,82,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,,,,39.6,,,,,,,,46.6,,,,,58.3,,,,53.9,,,,
762,Tajikistan,,,,,,,,,,,33.9,,,,,37.9,,37.1,,,,,27.9,,
764,Thailand,,,,73.9,,,75.2,72.2,,,,77.8,,,,71.5,81.1,,,79.6,,,79.3,,
807,The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,40.2,,,
626,Timor-Leste,,25.1,,,22.6,,,26.7,,,,8,,10,,,,19.8,,,22.3,,,,
